3.803412119351972653e-01 3.554831402633633342e-02
2.758501006040985915e-01 3.051782047719155469e-02
2.727432193777223346e-01 2.810141537951207566e-02
2.350835389215645832e-01 2.850427835916266930e-02
2.308497518506341106e-01 3.872608028254226342e-02
2.144506034536624584e-01 3.565406480093339520e-02
2.002324193540051256e-01 4.127784687290458193e-02
2.064645610104395568e-01 3.705392220351649141e-02
1.949061492208655488e-01 3.515436390022698421e-02
1.991662920166657746e-01 3.531844163999745684e-02
1.881945760641980381e-01 4.427782544179966612e-02
1.906919670327911209e-01 3.337737278228527366e-02
1.877483732001049288e-01 3.751545593044475213e-02
1.825380001627788795e-01 4.182506455598693218e-02
1.879409804764225755e-01 3.816403504338507918e-02
1.816796047803689307e-01 3.183493187258902568e-02
1.868186320038879022e-01 3.243309370928296881e-02
1.892027393951425385e-01 3.515732613098072196e-02
1.870570925365048209e-01 3.979234320209606990e-02
1.862630208176890567e-01 3.617648152928603505e-02
1.876020584196790852e-01 3.667985428565818939e-02
1.749969940984577588e-01 3.462211130873153048e-02
1.811669710583574122e-01 3.614331245128261233e-02
1.860693897905312255e-01 3.461348212716218453e-02
1.844046214434105491e-01 4.100506534603865633e-02
1.786607882873279818e-01 3.852556365248011733e-02
1.812422827883498899e-01 3.712301997860011082e-02
1.825237427874812912e-01 3.783557149826696081e-02
1.810504613429542720e-01 3.923793329465154189e-02
1.788974300202891554e-01 3.447172861840380048e-02
