1.838554213263771828e+02 4.913658721630390147e+01
1.598778244365345245e+02 7.590412061923447847e+08
1.423221233758059441e+02 4.481519009516789254e+01
1.255050591122020336e+02 2.504300187184260551e+01
1.215496517094698845e+02 4.732806917337271102e+01
1.125894008983265309e+02 1.822519313372098537e+01
1.091591673981059643e+02 1.746545688922588724e+01
1.030383142558011116e+02 8.762140879264244120e+01
9.502088956399397546e+01 5.896337195543142684e+01
1.033518831079656479e+02 6.014976395093477635e+01
9.077630925178527832e+01 9.832744974356431555e+01
9.180189847946166992e+01 1.205908131966224062e+02
8.499690019000659902e+01 6.285267329216003418e+01
8.888962741331620521e+01 6.665469290659977730e+01
8.447326634146951108e+01 7.630884441962608378e+01
8.772823121330954166e+01 1.019377200786884003e+02
9.133378395167264330e+01 4.123476692346426375e+01
8.402497300234708177e+01 3.074961642118600835e+01
8.944313569502396888e+01 9.745397776823777747e+01
8.429927583174271888e+01 7.326664469792292778e+01
8.614505646445535092e+01 1.283835299015045166e+02
9.212712157856334727e+01 7.298965813563420113e+01
9.384148242256857486e+01 1.407509016623863829e+02
8.552992590990933763e+01 9.708510024730975374e+01
8.627451766620983165e+01 1.656213261897747202e+02
8.927095809849825514e+01 2.278472742667565001e+02
9.221705436706542969e+01 1.205440135002136230e+02
8.640632783282886464e+01 1.822196639867929377e+02
8.639218740029768639e+01 1.079800583582658078e+02
8.715669207139448815e+01 9.715099591475267005e+01
