1.893893965591083770e+02 3.297364212916447457e+01
1.535102007172324363e+02 5.002441526798101404e+04
1.217704593051563648e+02 2.024674784953777475e+02
1.144052630337801872e+02 1.893535580635070801e+02
1.182984532442959846e+02 2.806810523730057980e+02
9.933942400325427968e+01 1.180267030642582853e+02
1.025821561596610394e+02 2.025350112548241270e+02
9.581789168444547045e+01 3.986293286543626380e+01
9.968420137058605235e+01 7.003688731560340841e+01
9.097458939118818932e+01 9.659274123265193168e+01
8.545414319905367506e+01 5.336281890135545325e+01
9.307485977086153639e+01 3.582422663615299996e+01
9.033541339093989109e+01 5.717676540521475204e+01
9.014151338013735426e+01 4.540060736582829293e+01
8.124045106497678148e+01 7.410671734809875488e+01
8.813059616088867188e+01 7.259900623101454187e+01
7.929486116495999681e+01 6.251715867335979482e+01
8.150253338163548733e+01 4.557676137410677342e+01
8.041686669262972487e+01 5.030032181739807129e+01
8.741188350590792311e+01 4.104310118235074611e+01
8.539643933556295963e+01 4.254038242193368546e+01
8.329235137592662852e+01 4.646269853298480967e+01
8.236383264715021824e+01 5.510557413101196289e+01
7.985662876475940664e+01 7.658706551331739831e+01
8.086268734931945801e+01 3.797171512016883099e+01
8.408001349189065365e+01 5.807679143318762982e+01
8.114006701382723463e+01 8.215820349179782056e+01
8.236984107711099057e+01 4.763694297350370022e+01
8.427254778688603665e+01 4.975073077128483590e+01
8.352270692045038913e+01 9.014175778168898034e+01
